transaction_id,timestamp,amount,category,merchant,is_anomaly
txn_6409184,2025-04-18T13:28:42,1491.23,rent,netflix,0
txn_5564874,2025-04-18T13:47:42,35.09,dining,netflix,0
txn_1392278,2025-04-18T13:59:42,1563.75,rent,target,0
txn_1562873,2025-04-18T14:47:42,4.2,shopping,walmart,0
txn_5718639,2025-04-18T15:04:42,12.41,entertainment,amazon,0
txn_5280549,2025-04-18T15:28:42,51.8,dining,local_restaurant,0
txn_9224711,2025-04-18T16:00:42,1377.13,rent,starbucks,0
txn_4683364,2025-04-18T18:09:42,15.25,dining,uber,0
txn_2452337,2025-04-18T18:48:42,1369.16,rent,netflix,0
txn_3126861,2025-04-18T18:54:42,32.17,dining,uber,0
txn_9447627,2025-04-18T19:03:42,98.91,utilities,amazon,0
txn_9193168,2025-04-18T19:46:42,74.22,utilities,walmart,0
txn_6541497,2025-04-18T20:06:42,66.87,shopping,uber,0
txn_4732935,2025-04-18T21:51:42,114.89,utilities,starbucks,0
txn_4964808,2025-04-18T21:56:42,17.19,entertainment,netflix,0
txn_9619652,2025-04-18T22:22:42,7.47,groceries,target,0
txn_9756598,2025-04-18T22:25:42,19.88,groceries,uber,0
txn_3287083,2025-04-18T22:45:42,9.13,dining,walmart,0
txn_2516660,2025-04-18T23:06:42,28.42,entertainment,netflix,0
txn_5715697,2025-04-18T23:45:42,9.2,entertainment,amazon,0
txn_7832365,2025-04-19T01:03:42,42.99,shopping,netflix,0
txn_4247198,2025-04-19T02:36:42,10.28,shopping,target,0
txn_8581002,2025-04-19T03:52:42,10.5,dining,walmart,0
txn_8831038,2025-04-19T04:08:42,23.61,dining,local_restaurant,0
txn_3783993,2025-04-19T04:35:42,2022.96,rent,amazon,0
txn_8416876,2025-04-19T05:00:42,10.48,entertainment,walmart,0
txn_3106583,2025-04-19T06:38:42,37.66,entertainment,local_restaurant,0
txn_7130864,2025-04-19T07:58:42,37.6,dining,amazon,0
txn_7758859,2025-04-19T09:20:42,1346.45,rent,local_restaurant,0
txn_6272098,2025-04-19T10:47:42,11.35,shopping,netflix,0
txn_6398143,2025-04-19T13:54:42,8.04,groceries,amazon,0
txn_1447955,2025-04-19T15:24:42,1104.82,rent,uber,0
txn_6756635,2025-04-19T16:05:42,11.05,entertainment,starbucks,0
txn_6471711,2025-04-19T19:45:42,126.85,utilities,local_restaurant,0
txn_3957498,2025-04-19T20:12:42,6.61,entertainment,uber,0
txn_9083667,2025-04-19T20:34:42,1415.95,rent,uber,0
txn_5490991,2025-04-19T20:39:42,0.15,groceries,local_restaurant,1
txn_6809701,2025-04-19T20:48:42,33.48,groceries,amazon,0
txn_2733994,2025-04-19T21:13:42,35.57,dining,netflix,0
txn_1822805,2025-04-19T22:27:42,32.63,utilities,amazon,0
txn_9258103,2025-04-19T22:30:42,10.97,shopping,uber,0
txn_8333208,2025-04-19T23:29:42,9.5,groceries,amazon,0
txn_6210307,2025-04-20T01:18:42,90.06,utilities,target,0
txn_5712252,2025-04-20T01:44:42,14.24,entertainment,local_restaurant,0
txn_7344712,2025-04-20T01:48:42,26.25,shopping,amazon,0
txn_8126154,2025-04-20T03:03:42,37.24,dining,amazon,0
txn_5444787,2025-04-20T05:29:42,20.35,shopping,amazon,0
txn_9982201,2025-04-20T06:10:42,15.26,dining,walmart,0
txn_5598959,2025-04-20T08:09:42,1518.2,rent,walmart,0
txn_8814658,2025-04-20T08:18:42,72.27,utilities,walmart,0
txn_4432532,2025-04-20T08:50:42,5.08,groceries,local_restaurant,0
txn_2003986,2025-04-20T08:52:42,1484.89,rent,local_restaurant,0
txn_7812304,2025-04-20T12:24:42,1533.6,rent,starbucks,0
txn_3514368,2025-04-20T12:37:42,1529.78,rent,target,0
txn_5572786,2025-04-20T13:59:42,102.39,utilities,walmart,0
txn_2381173,2025-04-20T15:43:42,8.92,dining,netflix,0
txn_1665073,2025-04-20T16:24:42,73.07,groceries,target,0
txn_2133942,2025-04-20T16:29:42,2.96,dining,walmart,0
txn_5221806,2025-04-20T18:08:42,10.79,entertainment,netflix,0
txn_3597480,2025-04-20T19:18:42,12.2,shopping,amazon,0
txn_3238154,2025-04-20T19:36:42,14.42,shopping,amazon,0
txn_8336302,2025-04-20T20:49:42,13.7,dining,starbucks,0
txn_7981383,2025-04-20T21:18:42,7.96,shopping,uber,0
txn_8607632,2025-04-20T21:44:42,17.56,entertainment,amazon,0
txn_8657273,2025-04-20T22:58:42,37.0,dining,target,0
txn_1011742,2025-04-20T23:53:42,1486.27,rent,uber,0
txn_7623341,2025-04-20T23:54:42,19.7,shopping,netflix,0
txn_8176283,2025-04-21T02:37:42,15.25,shopping,local_restaurant,0
txn_1131562,2025-04-21T03:00:42,7.85,shopping,uber,0
txn_9640599,2025-04-21T03:11:42,31.64,shopping,target,0
txn_2042714,2025-04-21T03:50:42,31.16,utilities,walmart,0
txn_6152102,2025-04-21T04:27:42,1635.04,rent,local_restaurant,0
txn_9874293,2025-04-21T05:30:42,11.42,entertainment,amazon,0
txn_8300259,2025-04-21T07:00:42,1673.15,rent,target,0
txn_5737308,2025-04-21T07:20:42,12239.83,utilities,netflix,1
txn_1662860,2025-04-21T07:46:42,67.28,shopping,netflix,0
txn_9284479,2025-04-21T07:48:42,10.98,shopping,target,0
txn_5683024,2025-04-21T09:01:42,73.82,shopping,starbucks,0
txn_3475476,2025-04-21T09:33:42,7.85,dining,starbucks,0
txn_5116854,2025-04-21T10:21:42,10.6,groceries,netflix,0
txn_8369434,2025-04-21T11:54:42,9.79,shopping,uber,0
txn_1084636,2025-04-21T12:33:42,136.09,utilities,amazon,0
txn_5141747,2025-04-21T13:00:42,24.22,groceries,amazon,0
txn_2903401,2025-04-21T13:20:42,6.48,groceries,target,0
txn_6712845,2025-04-21T13:40:42,112.99,shopping,netflix,0
